date,all_collisions,injury_collisions,fatal_collisions,tire_failure_inadequate,oversized_vehicle,following_too_closely,unspecified,shoulders_defective_improper,physical_disability,other_electronic_device,brakes_defective,driver_inexperience,backing_unsafely,prescription_medication,view_obstructed_limited,other_vehicular,other_lighting_defects,reaction_to_other_uninvolved_vehicle,traffic_control_disregarded,fell_asleep,tow_hitch_defective,traffic_control_device_improper_non_working,outside_car_distraction,lane_marking_improper_inadequate,illness,glare,pavement_defective,cell_phone_hand_held,headlights_defective,turning_improperly,failure_to_keep_right,aggressive_driving_road_rage,passenger_distraction,pavement_slippery,drugs_illegal,cell_phone_hands_free,fatigued_drowsy,steering_failure,unsafe_speed,unsafe_lane_changing,alcohol_involvement,lost_consciousness,passing_or_lane_usage_improper,pedestrian_bicyclist_other_pedestrian_error_confusion,animals_action,failure_to_yield_right_of_way,accelerator_defective,driver_inattention_distraction,windshield_inadequate,obstruction_debris
2012-07-01,538,166,0,4,4,1,796,0,9,3,2,10,23,15,1,19,0,2,9,0,1,0,6,0,3,1,1,0,0,13,2,1,6,1,0,1,34,0,1,0,9,8,0,0,0,17,0,72,0,0
2012-07-02,564,175,1,1,2,1,808,0,9,5,2,17,17,7,2,40,0,0,3,1,0,0,9,2,1,2,1,0,0,12,1,0,3,0,1,0,37,1,1,0,1,12,0,0,0,28,0,94,0,0
2012-07-03,664,210,1,0,5,1,987,0,8,1,1,6,23,14,1,19,0,3,13,3,0,0,16,0,3,1,0,0,0,19,0,1,7,0,1,1,47,0,0,1,2,20,0,0,0,27,0,84,0,1
2012-07-04,432,156,0,0,1,0,631,0,13,1,2,15,18,12,2,16,0,0,5,0,0,2,12,2,2,0,0,0,0,12,0,6,3,3,0,0,25,1,0,0,5,16,2,0,1,17,1,40,0,0
2012-07-05,591,138,1,0,7,0,927,0,9,1,3,11,19,14,2,16,0,3,8,0,1,0,5,0,0,0,0,0,0,17,1,1,2,0,0,0,40,0,0,0,7,14,0,0,0,21,0,78,1,1
2012-07-06,638,179,0,1,5,0,1003,0,12,3,2,10,18,11,8,18,0,1,6,1,0,0,11,0,4,0,1,0,0,14,1,4,3,1,0,0,35,0,0,0,2,19,0,1,0,29,1,61,0,0
2012-07-07,490,165,0,0,1,1,735,0,6,2,1,8,15,8,2,17,0,0,10,0,0,0,4,0,1,0,0,0,0,13,2,0,3,0,0,0,22,0,1,0,5,18,0,0,0,19,1,60,0,3
2012-07-08,464,137,1,2,1,0,697,0,6,3,1,5,8,8,2,5,0,0,5,0,0,1,10,0,2,0,4,0,0,13,3,4,1,11,1,0,38,0,1,0,3,9,0,0,0,27,0,56,0,2
2012-07-09,533,150,0,2,2,1,797,0,4,1,2,14,17,14,7,14,0,1,8,0,0,1,8,0,2,0,0,0,0,18,1,2,3,0,0,0,33,0,1,1,1,14,1,0,1,25,1,65,0,0
2012-07-10,524,149,1,1,4,1,810,0,4,3,1,7,17,5,2,18,0,0,8,0,0,0,11,1,2,0,0,0,0,7,0,0,2,0,0,0,33,0,0,0,1,10,0,0,0,15,0,70,0,2
2012-07-11,565,164,0,0,2,0,865,0,7,4,1,6,18,8,1,21,0,1,10,0,0,0,4,0,3,1,0,0,0,13,0,4,4,1,0,0,36,0,0,0,2,13,0,0,0,24,0,68,0,1
2012-07-12,577,155,1,0,2,1,876,0,5,0,3,9,25,12,1,20,0,0,6,0,0,0,16,0,0,0,0,0,0,11,1,1,2,0,0,1,36,0,1,0,2,10,0,1,0,34,1,72,0,0
2012-07-13,603,163,1,0,4,0,899,0,7,2,3,13,12,16,3,21,0,4,6,0,1,2,8,0,2,0,0,0,0,15,1,4,3,0,1,0,44,0,1,0,6,11,0,0,0,29,1,90,0,0
