row_number,precinct,week,year,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,label
1,1,1,2012,2,0,0,0,0,0,0,2012-12-31 through 2013-01-06
2,45,1,2012,6,2,0,2,0,0,1,2012-12-31 through 2013-01-06
3,10,1,2012,4,0,0,0,0,0,0,2012-12-31 through 2013-01-06
4,79,1,2012,4,2,0,4,0,1,0,2012-12-31 through 2013-01-06
5,100,1,2012,3,0,0,0,0,0,0,2012-12-31 through 2013-01-06
6,63,1,2012,9,1,0,1,0,0,0,2012-12-31 through 2013-01-06
7,105,1,2012,9,1,0,1,0,0,0,2012-12-31 through 2013-01-06
8,78,1,2012,9,1,0,1,0,0,1,2012-12-31 through 2013-01-06
9,112,1,2012,3,0,0,0,0,0,0,2012-12-31 through 2013-01-06
10,6,1,2012,5,0,0,0,0,0,0,2012-12-31 through 2013-01-06
11,22,1,2012,1,0,0,0,0,0,0,2012-12-31 through 2013-01-06
12,66,1,2012,7,1,0,1,0,0,1,2012-12-31 through 2013-01-06
13,23,1,2012,6,1,0,2,0,0,0,2012-12-31 through 2013-01-06
14,52,1,2012,3,0,0,0,0,0,0,2012-12-31 through 2013-01-06
15,113,1,2012,6,1,0,1,0,0,0,2012-12-31 through 2013-01-06
16,44,1,2012,9,2,0,2,0,0,1,2012-12-31 through 2013-01-06
17,24,1,2012,2,0,0,0,0,0,0,2012-12-31 through 2013-01-06
18,81,1,2012,1,1,0,1,0,0,0,2012-12-31 through 2013-01-06
19,102,1,2012,8,3,0,3,0,1,1,2012-12-31 through 2013-01-06
20,75,1,2012,12,0,0,0,0,0,0,2012-12-31 through 2013-01-06
21,106,1,2012,9,0,0,0,0,0,0,2012-12-31 through 2013-01-06
22,71,1,2012,4,1,0,1,0,0,0,2012-12-31 through 2013-01-06
23,25,1,2012,4,1,0,1,0,0,1,2012-12-31 through 2013-01-06
24,83,1,2012,3,0,0,0,0,0,0,2012-12-31 through 2013-01-06
25,114,1,2012,12,2,0,2,0,0,2,2012-12-31 through 2013-01-06
26,47,1,2012,12,3,0,3,0,0,1,2012-12-31 through 2013-01-06
27,26,1,2012,2,0,0,0,0,0,0,2012-12-31 through 2013-01-06
28,62,1,2012,7,2,0,3,0,0,0,2012-12-31 through 2013-01-06
29,115,1,2012,3,1,0,1,0,0,1,2012-12-31 through 2013-01-06
30,84,1,2012,5,0,0,0,0,0,0,2012-12-31 through 2013-01-06
31,28,1,2012,1,0,0,0,0,0,0,2012-12-31 through 2013-01-06
32,88,1,2012,2,0,0,0,0,0,0,2012-12-31 through 2013-01-06
33,103,1,2012,3,0,0,0,0,0,0,2012-12-31 through 2013-01-06
34,48,1,2012,3,1,0,1,0,0,1,2012-12-31 through 2013-01-06
35,107,1,2012,4,0,0,0,0,0,0,2012-12-31 through 2013-01-06
36,5,1,2012,8,0,0,0,0,0,0,2012-12-31 through 2013-01-06
37,32,1,2012,5,0,0,0,0,0,0,2012-12-31 through 2013-01-06
38,76,1,2012,2,1,0,1,0,0,0,2012-12-31 through 2013-01-06
39,120,1,2012,6,0,0,0,0,0,0,2012-12-31 through 2013-01-06
40,94,1,2012,3,1,0,1,0,0,0,2012-12-31 through 2013-01-06
41,33,1,2012,3,0,0,0,0,0,0,2012-12-31 through 2013-01-06
42,67,1,2012,9,2,1,4,1,0,1,2012-12-31 through 2013-01-06
43,34,1,2012,2,0,0,0,0,0,0,2012-12-31 through 2013-01-06
