year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,14,2012-06-25 through 2012-07-01,7,1,0,3,0,0,0,0
2012,27,14,2012-07-02 through 2012-07-08,50,7,0,8,0,1,3,1
2012,28,14,2012-07-09 through 2012-07-15,61,11,0,11,0,2,6,2
2012,29,14,2012-07-16 through 2012-07-22,69,7,0,9,0,0,5,3
2012,30,14,2012-07-23 through 2012-07-29,77,8,0,8,0,1,4,4
2012,31,14,2012-07-30 through 2012-08-05,81,12,0,12,0,3,8,5
2012,32,14,2012-08-06 through 2012-08-12,71,10,0,10,0,2,4,6
2012,33,14,2012-08-13 through 2012-08-19,81,12,0,12,0,0,6,7
2012,34,14,2012-08-20 through 2012-08-26,74,7,0,7,0,3,3,8
2012,35,14,2012-08-27 through 2012-09-02,69,11,0,13,0,2,2,9
2012,36,14,2012-09-03 through 2012-09-09,76,14,0,17,0,2,8,10
2012,37,14,2012-09-10 through 2012-09-16,58,6,0,6,0,4,2,11
2012,38,14,2012-09-17 through 2012-09-23,79,14,0,14,0,1,10,12
2012,39,14,2012-09-24 through 2012-09-30,74,12,0,14,0,2,8,13
2012,40,14,2012-10-01 through 2012-10-07,65,12,0,13,0,4,6,14
2012,41,14,2012-10-08 through 2012-10-14,75,6,0,6,0,1,5,15
2012,42,14,2012-10-15 through 2012-10-21,65,8,0,9,0,3,2,16
2012,43,14,2012-10-22 through 2012-10-28,64,12,0,14,0,2,8,17
2012,44,14,2012-10-29 through 2012-11-04,35,7,0,8,0,3,1,18
2012,45,14,2012-11-05 through 2012-11-11,72,13,0,16,0,0,9,19
2012,46,14,2012-11-12 through 2012-11-18,95,11,0,12,0,0,6,20
2012,47,14,2012-11-19 through 2012-11-25,68,8,0,8,0,0,6,21
2012,48,14,2012-11-26 through 2012-12-02,60,7,0,7,0,0,6,22
2012,49,14,2012-12-03 through 2012-12-09,73,4,0,4,0,0,4,23
2012,50,14,2012-12-10 through 2012-12-16,75,15,0,21,0,1,11,24
2012,51,14,2012-12-17 through 2012-12-23,79,12,0,15,0,4,6,25
2012,52,14,2012-12-24 through 2012-12-30,62,7,0,10,0,0,6,26
2013,1,14,2012-12-31 through 2013-01-06,44,6,0,6,0,1,4,27
