precinct,date,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,year,week
14,2012-07-01,7,1,0,3,0,0,0,2012,26
14,2012-07-02,8,1,0,1,0,0,1,2012,27
14,2012-07-03,10,0,0,0,0,0,0,2012,27
14,2012-07-04,2,0,0,0,0,0,0,2012,27
14,2012-07-05,3,0,0,0,0,0,0,2012,27
14,2012-07-06,10,2,0,2,0,0,2,2012,27
14,2012-07-07,11,3,0,3,0,1,0,2012,27
14,2012-07-08,6,1,0,2,0,0,0,2012,27
14,2012-07-09,6,3,0,3,0,0,2,2012,28
14,2012-07-10,5,0,0,0,0,0,0,2012,28
14,2012-07-11,10,3,0,3,0,1,1,2012,28
14,2012-07-12,10,2,0,2,0,0,2,2012,28
14,2012-07-13,15,2,0,2,0,1,0,2012,28
14,2012-07-14,9,1,0,1,0,0,1,2012,28
14,2012-07-15,6,0,0,0,0,0,0,2012,28
14,2012-07-16,7,2,0,3,0,0,0,2012,29
14,2012-07-17,10,0,0,0,0,0,0,2012,29
14,2012-07-18,9,0,0,0,0,0,0,2012,29
14,2012-07-19,11,3,0,4,0,0,3,2012,29
14,2012-07-20,15,1,0,1,0,0,1,2012,29
14,2012-07-21,9,1,0,1,0,0,1,2012,29
14,2012-07-22,8,0,0,0,0,0,0,2012,29
14,2012-07-23,6,1,0,1,0,0,0,2012,30
14,2012-07-24,12,2,0,2,0,1,1,2012,30
14,2012-07-25,13,1,0,1,0,0,1,2012,30
14,2012-07-26,18,3,0,3,0,0,1,2012,30
14,2012-07-27,12,1,0,1,0,0,1,2012,30
14,2012-07-28,9,0,0,0,0,0,0,2012,30
14,2012-07-29,7,0,0,0,0,0,0,2012,30
14,2012-07-30,5,1,0,1,0,0,1,2012,31
14,2012-07-31,18,5,0,5,0,1,3,2012,31
14,2012-08-01,19,2,0,2,0,1,1,2012,31
14,2012-08-02,9,2,0,2,0,1,1,2012,31
14,2012-08-03,13,0,0,0,0,0,0,2012,31
14,2012-08-04,11,1,0,1,0,0,1,2012,31
14,2012-08-05,6,1,0,1,0,0,1,2012,31
14,2012-08-06,4,0,0,0,0,0,0,2012,32
14,2012-08-07,13,3,0,3,0,0,1,2012,32
14,2012-08-08,15,3,0,3,0,0,1,2012,32
14,2012-08-09,9,2,0,2,0,1,1,2012,32
14,2012-08-10,7,0,0,0,0,0,0,2012,32
14,2012-08-11,12,2,0,2,0,1,1,2012,32
14,2012-08-12,11,0,0,0,0,0,0,2012,32
14,2012-08-13,7,0,0,0,0,0,0,2012,33
14,2012-08-14,14,2,0,2,0,0,1,2012,33
14,2012-08-15,12,1,0,1,0,0,0,2012,33
14,2012-08-16,14,4,0,4,0,0,3,2012,33
14,2012-08-17,11,0,0,0,0,0,0,2012,33
14,2012-08-18,17,3,0,3,0,0,0,2012,33
14,2012-08-19,6,2,0,2,0,0,2,2012,33
14,2012-08-20,11,2,0,2,0,1,1,2012,34
14,2012-08-21,6,0,0,0,0,0,0,2012,34
14,2012-08-22,17,1,0,1,0,0,0,2012,34
14,2012-08-23,11,3,0,3,0,2,1,2012,34
14,2012-08-24,14,1,0,1,0,0,1,2012,34
14,2012-08-25,9,0,0,0,0,0,0,2012,34
14,2012-08-26,6,0,0,0,0,0,0,2012,34
14,2012-08-27,9,2,0,2,0,1,0,2012,35
14,2012-08-28,10,1,0,1,0,0,1,2012,35
14,2012-08-29,11,2,0,2,0,1,0,2012,35
14,2012-08-30,13,2,0,4,0,0,0,2012,35
14,2012-08-31,6,0,0,0,0,0,0,2012,35
14,2012-09-01,13,3,0,3,0,0,1,2012,35
14,2012-09-02,7,1,0,1,0,0,0,2012,35
14,2012-09-03,8,2,0,3,0,0,1,2012,36
14,2012-09-04,11,1,0,1,0,0,1,2012,36
14,2012-09-05,11,3,0,3,0,1,1,2012,36
14,2012-09-06,8,2,0,2,0,0,2,2012,36
14,2012-09-07,23,3,0,3,0,1,1,2012,36
14,2012-09-08,9,3,0,5,0,0,2,2012,36
14,2012-09-09,6,0,0,0,0,0,0,2012,36
14,2012-09-10,5,0,0,0,0,0,0,2012,37
14,2012-09-11,9,3,0,3,0,2,1,2012,37
14,2012-09-12,10,1,0,1,0,1,0,2012,37
14,2012-09-13,9,2,0,2,0,1,1,2012,37
14,2012-09-14,8,0,0,0,0,0,0,2012,37
14,2012-09-15,10,0,0,0,0,0,0,2012,37
14,2012-09-16,7,0,0,0,0,0,0,2012,37
14,2012-09-17,8,2,0,2,0,0,2,2012,38
14,2012-09-18,18,4,0,4,0,0,4,2012,38
14,2012-09-19,12,1,0,1,0,0,1,2012,38
14,2012-09-20,13,2,0,2,0,1,0,2012,38
14,2012-09-21,17,3,0,3,0,0,2,2012,38
14,2012-09-22,7,2,0,2,0,0,1,2012,38
14,2012-09-23,4,0,0,0,0,0,0,2012,38
14,2012-09-24,11,1,0,2,0,0,0,2012,39
14,2012-09-25,12,4,0,4,0,0,4,2012,39
14,2012-09-26,8,1,0,1,0,0,1,2012,39
14,2012-09-27,9,2,0,2,0,1,1,2012,39
14,2012-09-28,12,2,0,2,0,1,1,2012,39
14,2012-09-29,15,1,0,2,0,0,0,2012,39
14,2012-09-30,7,1,0,1,0,0,1,2012,39
14,2012-10-01,8,1,0,1,0,0,1,2012,40
14,2012-10-02,14,1,0,1,0,0,1,2012,40
14,2012-10-03,9,2,0,2,0,1,0,2012,40
14,2012-10-04,8,3,0,3,0,1,2,2012,40
14,2012-10-05,10,3,0,4,0,2,0,2012,40
14,2012-10-06,9,2,0,2,0,0,2,2012,40
14,2012-10-07,7,0,0,0,0,0,0,2012,40
14,2012-10-08,8,0,0,0,0,0,0,2012,41
14,2012-10-09,7,0,0,0,0,0,0,2012,41
14,2012-10-10,10,0,0,0,0,0,0,2012,41
14,2012-10-11,10,3,0,3,0,0,3,2012,41
14,2012-10-12,12,0,0,0,0,0,0,2012,41
14,2012-10-13,12,3,0,3,0,1,2,2012,41
14,2012-10-14,16,0,0,0,0,0,0,2012,41
14,2012-10-15,11,3,0,3,0,1,0,2012,42
14,2012-10-16,7,1,0,1,0,1,0,2012,42
14,2012-10-17,4,1,0,1,0,1,0,2012,42
