DATE,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED
2015-04-19,126,0,11,0,12,0,103,0
2015-04-18,179,1,24,0,12,0,143,1
2015-04-17,163,0,29,0,13,0,121,0
2015-04-16,114,0,25,0,13,0,76,0
2015-04-15,143,2,35,0,17,0,91,2
2015-04-14,115,0,16,0,9,0,90,0
2015-04-13,126,0,25,0,16,0,85,0
2015-04-12,110,1,13,0,9,0,88,1
2015-04-11,127,0,16,0,6,0,105,0
2015-04-10,129,0,28,0,10,0,91,0
2015-04-09,87,1,13,0,9,0,65,1
2015-04-08,82,0,13,0,6,0,63,0
2015-04-07,105,0,23,0,5,0,77,0
2015-04-06,110,0,24,0,7,0,79,0
2015-04-05,126,3,14,0,9,1,103,2
2015-04-04,135,0,30,0,9,0,96,0
2015-04-03,109,0,34,0,3,0,72,0
2015-04-02,130,2,28,1,5,0,97,1
2015-04-01,138,3,22,3,11,0,105,0
2015-03-31,117,0,40,0,7,0,70,0
2015-03-30,137,0,15,0,11,0,111,0
2015-03-29,102,0,7,0,9,0,86,0
2015-03-28,89,0,12,0,4,0,73,0
2015-03-27,84,0,20,0,7,0,57,0
2015-03-26,132,0,29,0,7,0,96,0
2015-03-25,154,1,37,1,6,0,111,0
2015-03-24,118,1,30,0,5,0,83,1
2015-03-23,100,0,31,0,6,0,63,0
2015-03-22,125,0,14,0,9,0,102,0
2015-03-21,117,0,26,0,2,0,89,0
2015-03-20,153,4,34,2,5,0,114,2
2015-03-19,110,0,27,0,7,0,76,0
2015-03-18,113,1,16,0,5,0,92,1
2015-03-17,106,1,28,1,5,0,73,0
2015-03-16,99,1,22,1,8,0,69,0
2015-03-15,94,0,16,0,3,0,75,0
2015-03-14,137,0,45,0,4,0,88,0
2015-03-13,158,0,31,0,8,0,119,0
2015-03-12,111,0,31,0,9,0,71,0
2015-03-11,132,0,25,0,6,0,101,0
2015-03-10,144,0,46,0,6,0,92,0
2015-03-09,155,1,35,1,4,0,116,0
2015-03-08,115,0,15,0,4,0,96,0
2015-03-07,106,1,13,1,2,0,91,0
2015-03-06,142,0,35,0,4,0,103,0
2015-03-05,90,0,17,0,2,0,71,0
2015-03-04,78,0,22,0,3,0,53,0
2015-03-03,94,0,25,0,1,0,68,0
2015-03-02,125,1,37,0,0,0,88,1
2015-03-01,134,1,14,0,1,0,119,1
2015-02-28,130,0,22,0,1,0,107,0
2015-02-27,120,2,36,0,3,0,81,2
2015-02-26,92,1,23,1,0,0,69,0
2015-02-25,138,0,35,0,2,0,101,0
2015-02-24,106,0,35,0,4,0,67,0
2015-02-23,92,1,21,1,1,0,70,0
2015-02-22,117,1,24,1,3,0,90,0
2015-02-21,93,0,16,0,1,0,76,0
2015-02-20,114,3,32,3,3,0,79,0
2015-02-19,78,1,24,1,1,0,53,0
2015-02-18,123,1,29,1,5,0,89,0
2015-02-17,109,1,27,0,0,0,82,1
2015-02-16,74,0,16,0,4,0,54,0
2015-02-15,87,0,18,0,4,0,65,0
2015-02-14,69,0,15,0,1,0,53,0
2015-02-13,147,0,41,0,6,0,100,0
2015-02-12,109,0,30,0,4,0,75,0
2015-02-11,131,1,40,0,7,0,84,1
2015-02-10,114,0,27,0,4,0,83,0
2015-02-09,111,2,31,2,3,0,77,0
2015-02-08,85,0,18,0,4,0,63,0
2015-02-07,116,0,19,0,6,0,91,0
2015-02-06,98,0,31,0,3,0,64,0
2015-02-05,98,0,39,0,2,0,57,0
2015-02-04,123,1,31,1,4,0,88,0
2015-02-03,140,1,34,1,1,0,105,0
2015-02-02,122,0,18,0,1,0,103,0
2015-02-01,65,0,13,0,4,0,48,0
2015-01-31,97,1,36,0,4,0,57,1
2015-01-30,101,0,25,0,5,0,71,0
2015-01-29,90,1,22,1,1,0,67,0
2015-01-28,89,0,21,0,4,0,64,0
2015-01-27,21,0,3,0,1,0,17,0
2015-01-26,80,0,21,0,0,0,59,0
2015-01-25,107,0,13,0,2,0,92,0
2015-01-24,66,0,17,0,1,0,48,0
2015-01-23,117,2,33,2,3,0,81,0
2015-01-22,97,0,26,0,10,0,61,0
2015-01-21,80,0,26,0,5,0,49,0
2015-01-20,91,0,32,0,8,0,51,0
2015-01-19,102,1,13,1,2,0,87,0
2015-01-18,227,0,39,0,5,0,183,0
2015-01-17,110,1,30,0,5,1,75,0
2015-01-16,114,1,40,1,3,0,71,0
2015-01-15,121,0,36,0,6,0,79,0
2015-01-14,110,1,27,0,3,0,80,1
2015-01-13,139,1,41,0,4,0,94,1
2015-01-12,156,0,50,0,5,0,101,0
2015-01-11,66,0,18,0,1,0,47,0
2015-01-10,110,0,26,0,3,0,81,0
2015-01-09,153,2,55,1,4,0,94,1
2015-01-08,117,0,40,0,7,0,70,0
2015-01-07,151,0,31,0,3,0,117,0
2015-01-06,142,0,27,0,2,0,113,0
2015-01-05,144,2,39,1,8,0,97,1
2015-01-04,108,1,29,1,4,0,75,0
2015-01-03,134,1,51,1,1,0,82,0
2015-01-02,93,0,20,0,4,0,69,0
2015-01-01,129,1,15,0,1,0,113,1
2014-12-31,95,1,22,1,4,0,69,0
2014-12-30,86,0,21,0,7,0,58,0
2014-12-29,104,1,17,0,5,0,82,1
2014-12-28,113,0,16,0,4,0,93,0
2014-12-27,126,0,26,0,8,0,92,0
2014-12-26,86,0,25,0,5,0,56,0
2014-12-25,92,0,15,0,2,0,75,0
2014-12-24,139,0,40,0,8,0,91,0
2014-12-23,172,1,62,1,8,0,102,0
2014-12-22,110,1,37,0,6,0,67,1
2014-12-21,87,0,13,0,5,0,69,0
2014-12-20,113,0,28,0,2,0,83,0
2014-12-19,157,0,35,0,4,0,118,0
2014-12-18,121,0,35,0,3,0,83,0
2014-12-17,138,1,43,1,12,0,83,0
2014-12-16,170,1,69,1,12,0,89,0
2014-12-15,166,0,52,0,6,0,108,0
2014-12-14,130,1,21,1,4,0,105,0
2014-12-13,138,1,42,0,3,0,93,1
2014-12-12,148,0,37,0,7,0,104,0
2014-12-11,151,0,35,0,9,0,107,0
2014-12-10,165,0,77,0,8,0,80,0
2014-12-09,154,1,64,1,3,0,87,0
2014-12-08,114,0,24,0,6,0,84,0
2014-12-07,135,1,25,1,7,0,103,0
2014-12-06,165,0,68,0,7,0,90,0
2014-12-05,182,1,79,1,8,0,95,0
2014-12-04,161,0,35,0,4,0,122,0
2014-12-03,128,1,41,1,5,0,82,0
2014-12-02,135,1,51,1,7,0,77,0
2014-12-01,144,0,47,0,7,0,90,0
2014-11-30,81,1,10,0,6,0,65,1
2014-11-29,93,1,15,0,4,0,74,1
2014-11-28,117,0,39,0,5,0,73,0
2014-11-27,127,0,16,0,7,0,104,0
2014-11-26,185,0,86,0,12,0,87,0
2014-11-25,125,1,26,0,14,1,85,0
2014-11-24,155,3,41,1,7,1,107,1
2014-11-23,129,0,18,0,6,0,105,0
2014-11-22,170,0,34,0,8,0,128,0
2014-11-21,162,0,41,0,6,0,115,0
2014-11-20,113,2,34,1,9,0,70,1
2014-11-19,141,1,24,0,5,0,112,1
2014-11-18,149,0,47,0,5,0,97,0
2014-11-17,167,1,58,1,11,0,98,0
2014-11-16,114,0,19,0,5,0,90,0
2014-11-15,142,1,30,1,10,0,102,0
2014-11-14,164,0,35,0,14,0,115,0
2014-11-13,158,3,46,1,11,0,101,2
2014-11-12,161,1,24,1,15,0,122,0
2014-11-11,123,0,21,0,15,0,87,0
2014-11-10,136,0,35,0,13,0,88,0
2014-11-09,101,1,19,1,5,0,77,0
2014-11-08,132,2,36,2,9,0,87,0
2014-11-07,171,0,44,0,18,0,109,0
2014-11-06,153,1,53,0,6,0,94,1
2014-11-05,150,1,23,1,12,0,115,0
2014-11-04,127,2,33,1,13,0,81,1
2014-11-03,157,3,26,0,14,0,117,3
2014-11-02,136,0,30,0,7,0,99,0
2014-11-01,202,1,57,1,8,0,137,0
2014-10-31,142,0,33,0,14,0,95,0
2014-10-30,116,2,32,2,10,0,74,0
2014-10-29,143,2,34,2,8,0,101,0
