DATE,ALL_COLLISIONS,INJURY_COLLISIONS,FATAL_COLLISIONS
2012-07-01,538,166,0
2012-07-02,564,175,1
2012-07-03,664,210,1
2012-07-04,432,156,0
2012-07-05,591,138,1
2012-07-06,638,179,0
2012-07-07,490,165,0
2012-07-08,464,137,1
2012-07-09,533,150,0
2012-07-10,524,149,1
2012-07-11,565,164,0
2012-07-12,577,155,1
2012-07-13,603,163,1
2012-07-14,536,175,2
2012-07-15,494,150,0
2012-07-16,528,158,2
2012-07-17,648,183,0
2012-07-18,558,116,1
2012-07-19,522,145,0
2012-07-20,604,175,0
2012-07-21,528,176,1
2012-07-22,498,178,6
2012-07-23,505,141,0
2012-07-24,574,111,0
2012-07-25,612,172,0
2012-07-26,604,161,0
2012-07-27,637,165,0
2012-07-28,512,175,1
2012-07-29,376,104,0
2012-07-30,529,139,2
2012-07-31,539,123,0
2012-08-01,615,149,0
2012-08-02,570,156,1
2012-08-03,589,145,1
2012-08-04,567,146,1
2012-08-05,518,173,0
2012-08-06,593,150,1
2012-08-07,547,143,0
2012-08-08,528,133,1
2012-08-09,581,163,2
2012-08-10,616,165,1
2012-08-11,507,155,2
2012-08-12,505,150,0
2012-08-13,504,142,0
2012-08-14,520,142,1
2012-08-15,602,151,0
2012-08-16,613,154,0
2012-08-17,574,165,0
2012-08-18,540,149,0
2012-08-19,467,146,0
2012-08-20,473,141,1
2012-08-21,482,129,2
2012-08-22,504,145,2
2012-08-23,574,177,2
2012-08-24,601,150,2
2012-08-25,474,146,0
2012-08-26,471,153,1
2012-08-27,548,166,3
2012-08-28,587,142,0
2012-08-29,550,128,0
2012-08-30,617,179,1
2012-08-31,701,217,2
2012-09-01,515,144,0
2012-09-02,421,150,1
2012-09-03,373,125,0
2012-09-04,606,186,0
2012-09-05,601,155,1
2012-09-06,572,151,0
2012-09-07,680,207,0
2012-09-08,598,197,0
2012-09-09,464,145,0
2012-09-10,637,172,1
2012-09-11,521,127,0
2012-09-12,649,153,1
2012-09-13,632,172,2
2012-09-14,608,165,0
2012-09-15,557,155,2
2012-09-16,458,125,1
2012-09-17,452,114,2
2012-09-18,556,178,1
2012-09-19,612,165,0
2012-09-20,522,132,3
2012-09-21,654,201,1
2012-09-22,547,161,1
2012-09-23,480,147,0
2012-09-24,562,151,1
2012-09-25,593,180,2
2012-09-26,404,104,0
2012-09-27,619,159,1
2012-09-28,703,188,2
2012-09-29,485,134,1
2012-09-30,449,145,2
2012-10-01,555,162,1
2012-10-02,592,191,0
2012-10-03,502,120,1
2012-10-04,554,120,0
2012-10-05,693,189,0
2012-10-06,500,132,0
2012-10-07,481,186,0
2012-10-08,376,122,0
2012-10-09,570,142,1
2012-10-10,640,187,0
2012-10-11,657,145,0
2012-10-12,593,150,0
2012-10-13,547,143,1
2012-10-14,517,173,1
2012-10-15,607,141,2
2012-10-16,602,172,1
2012-10-17,615,163,0
2012-10-18,630,141,0
2012-10-19,738,201,2
2012-10-20,587,188,2
2012-10-21,426,139,1
2012-10-22,608,149,2
2012-10-23,522,127,1
2012-10-24,494,114,0
2012-10-25,511,159,1
2012-10-26,598,166,2
2012-10-27,524,143,1
2012-10-28,403,131,0
2012-10-29,298,76,0
2012-10-30,372,88,0
2012-10-31,549,112,1
2012-11-01,439,121,1
2012-11-02,345,84,1
2012-11-03,307,85,0
2012-11-04,344,94,0
2012-11-05,479,130,0
2012-11-06,514,120,1
2012-11-07,718,200,0
2012-11-08,550,99,0
2012-11-09,688,150,0
2012-11-10,444,107,1
2012-11-11,526,141,0
2012-11-12,546,128,0
2012-11-13,648,169,0
2012-11-14,625,135,1
2012-11-15,623,129,1
2012-11-16,672,148,0
2012-11-17,542,143,1
2012-11-18,446,126,1
2012-11-19,585,139,0
2012-11-20,671,180,2
2012-11-21,689,186,0
2012-11-22,384,112,1
2012-11-23,481,136,0
2012-11-24,458,127,0
2012-11-25,415,120,1
2012-11-26,563,174,1
2012-11-27,583,134,0
2012-11-28,512,112,0
2012-11-29,515,125,0
2012-11-30,576,140,1
2012-12-01,480,128,0
2012-12-02,454,121,0
2012-12-03,620,140,0
2012-12-04,621,175,0
2012-12-05,514,120,0
2012-12-06,620,149,0
2012-12-07,714,203,0
2012-12-08,580,179,1
2012-12-09,543,192,0
2012-12-10,619,156,0
2012-12-11,578,147,0
2012-12-12,549,150,0
2012-12-13,545,131,1
2012-12-14,648,161,2
2012-12-15,523,151,2
2012-12-16,500,170,3
2012-12-17,649,178,2
2012-12-18,645,153,1
2012-12-19,590,132,2
2012-12-20,606,169,1
2012-12-21,751,199,0
2012-12-22,542,134,0
2012-12-23,407,106,0
2012-12-24,518,163,1
2012-12-25,354,122,0
2012-12-26,531,148,3
2012-12-27,525,113,1
2012-12-28,557,133,3
2012-12-29,442,131,2
2012-12-30,411,135,1
2012-12-31,482,98,1
2013-01-01,381,157,0
2013-01-02,480,123,1
2013-01-03,549,125,0
2013-01-04,505,97,3
2013-01-05,389,111,4
2013-01-06,393,109,1
2013-01-07,521,146,1
2013-01-08,513,119,0
2013-01-09,487,120,0
2013-01-10,555,146,0
2013-01-11,660,212,1
2013-01-12,475,144,1
2013-01-13,373,126,0
2013-01-14,542,124,0
2013-01-15,516,109,0
2013-01-16,578,148,1
2013-01-17,491,134,1
2013-01-18,561,141,1
2013-01-19,484,125,1
2013-01-20,393,99,1
2013-01-21,355,85,0
2013-01-22,544,136,1
2013-01-23,545,110,1
2013-01-24,554,135,0
2013-01-25,674,156,1
2013-01-26,558,156,1
2013-01-27,429,135,0
2013-01-28,507,131,0
2013-01-29,542,144,4
2013-01-30,497,114,3
2013-01-31,592,126,1
2013-02-01,574,140,1
2013-02-02,534,141,0
2013-02-03,445,105,0
2013-02-04,553,116,1
2013-02-05,566,157,1
2013-02-06,566,152,1
2013-02-07,526,126,1
2013-02-08,702,148,0
2013-02-09,403,47,0
2013-02-10,400,80,0
2013-02-11,475,131,0
2013-02-12,497,114,0
2013-02-13,568,174,2
2013-02-14,631,147,0
2013-02-15,604,173,3
2013-02-16,449,122,0
2013-02-17,447,125,0
2013-02-18,398,90,0
2013-02-19,477,132,0
2013-02-20,510,102,0
2013-02-21,498,130,2
2013-02-22,531,127,1
2013-02-23,521,136,2
2013-02-24,426,111,1
2013-02-25,490,105,1
2013-02-26,537,159,0
2013-02-27,550,160,1
2013-02-28,517,111,2
2013-03-01,603,128,0
2013-03-02,474,129,1
2013-03-03,502,147,5
2013-03-04,597,142,1
2013-03-05,527,154,0
2013-03-06,475,101,0
2013-03-07,535,153,1
2013-03-08,851,180,1
2013-03-09,569,158,1
2013-03-10,415,113,1
2013-03-11,521,130,3
2013-03-12,547,135,0
2013-03-13,636,149,1
2013-03-14,557,126,0
2013-03-15,607,119,0
2013-03-16,521,152,0
2013-03-17,426,116,2
2013-03-18,623,121,1
2013-03-19,559,135,0
2013-03-20,540,121,1
2013-03-21,507,134,0
2013-03-22,604,148,0
2013-03-23,488,139,1
2013-03-24,451,128,0
2013-03-25,498,146,0
2013-03-26,425,91,2
2013-03-27,441,89,0
2013-03-28,549,161,0
2013-03-29,520,144,1
2013-03-30,513,142,0
2013-03-31,426,155,0
2013-04-01,479,96,3
2013-04-02,437,84,0
2013-04-03,532,140,2
2013-04-04,566,155,1
2013-04-05,581,149,0
2013-04-06,531,154,1
2013-04-07,451,158,0
2013-04-08,582,148,0
2013-04-09,613,166,1
2013-04-10,580,163,0
2013-04-11,517,117,0
2013-04-12,649,203,0
2013-04-13,555,170,0
2013-04-14,472,139,0
2013-04-15,603,161,1
2013-04-16,564,160,1
2013-04-17,535,161,1
2013-04-18,553,113,0
2013-04-19,570,154,0
2013-04-20,532,150,0
2013-04-21,471,127,0
2013-04-22,565,105,1
2013-04-23,513,137,1
2013-04-24,598,160,1
2013-04-25,583,185,0
2013-04-26,675,152,0
2013-04-27,517,172,0
2013-04-28,440,172,0
2013-04-29,597,161,0
2013-04-30,576,125,2
2013-05-01,576,185,1
2013-05-02,585,161,0
2013-05-03,686,181,0
2013-05-04,580,169,0
2013-05-05,515,177,0
2013-05-06,561,159,1
2013-05-07,592,156,1
2013-05-08,620,165,0
2013-05-09,602,155,0
2013-05-10,698,190,1
2013-05-11,523,188,0
2013-05-12,527,161,1
2013-05-13,576,132,1
2013-05-14,565,112,1
2013-05-15,532,90,1
2013-05-16,559,144,1
2013-05-17,741,182,1
2013-05-18,505,155,0
2013-05-19,544,152,1
2013-05-20,657,175,0
2013-05-21,697,174,0
2013-05-22,570,131,0
2013-05-23,735,190,0
2013-05-24,668,202,0
2013-05-25,514,155,0
2013-05-26,455,167,2
2013-05-27,420,159,2
2013-05-28,686,163,0
2013-05-29,574,150,0
2013-05-30,685,176,0
2013-05-31,736,169,1
2013-06-01,631,181,0
2013-06-02,487,130,1
2013-06-03,706,166,1
2013-06-04,613,188,1
2013-06-05,599,142,0
2013-06-06,605,199,1
