precinct,date,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,year,week
68,2012-07-01,7,2,0,2,0,0,1,2012,26
1,2012-07-01,7,0,0,0,0,0,0,2012,26
72,2012-07-01,8,1,0,1,0,0,0,2012,26
47,2012-07-01,7,1,0,1,0,0,0,2012,26
67,2012-07-01,11,2,0,4,0,0,0,2012,26
101,2012-07-01,2,1,0,1,0,0,0,2012,26
75,2012-07-01,12,3,0,3,0,0,1,2012,26
63,2012-07-01,8,0,0,0,0,0,0,2012,26
73,2012-07-01,3,1,0,1,0,1,0,2012,26
103,2012-07-01,5,3,0,3,0,0,1,2012,26
69,2012-07-01,2,0,0,0,0,0,0,2012,26
5,2012-07-01,11,3,0,6,0,0,1,2012,26
70,2012-07-01,6,2,0,5,0,0,1,2012,26
104,2012-07-01,4,2,0,2,0,0,0,2012,26
7,2012-07-01,4,0,0,0,0,0,0,2012,26
60,2012-07-01,13,1,0,1,0,1,0,2012,26
71,2012-07-01,8,1,0,2,0,0,0,2012,26
10,2012-07-01,5,0,0,0,0,0,0,2012,26
66,2012-07-01,4,0,0,0,0,0,0,2012,26
49,2012-07-01,5,1,0,1,0,0,1,2012,26
77,2012-07-01,9,2,0,2,0,0,1,2012,26
100,2012-07-01,2,0,0,0,0,0,0,2012,26
78,2012-07-01,3,1,0,1,0,0,1,2012,26
61,2012-07-01,10,3,0,3,0,0,1,2012,26
90,2012-07-01,6,4,0,8,0,2,0,2012,26
102,2012-07-01,6,0,0,0,0,0,0,2012,26
83,2012-07-01,5,2,0,2,0,0,2,2012,26
62,2012-07-01,6,2,0,4,0,0,2,2012,26
81,2012-07-01,1,0,0,0,0,0,0,2012,26
107,2012-07-01,5,3,0,3,0,0,1,2012,26
84,2012-07-01,3,1,0,1,0,0,1,2012,26
52,2012-07-01,5,3,0,5,0,1,0,2012,26
76,2012-07-01,2,2,0,4,0,0,0,2012,26
112,2012-07-01,6,0,0,0,0,0,0,2012,26
79,2012-07-01,8,1,0,4,0,0,0,2012,26
6,2012-07-01,5,1,0,2,0,0,0,2012,26
9,2012-07-01,10,3,0,9,0,2,4,2012,26
106,2012-07-01,10,5,0,5,0,0,0,2012,26
88,2012-07-01,2,1,0,1,0,0,0,2012,26
113,2012-07-01,8,2,0,3,0,0,0,2012,26
23,2012-07-01,5,2,0,3,0,0,3,2012,26
109,2012-07-01,13,3,0,5,0,0,1,2012,26
28,2012-07-01,2,0,0,0,0,0,0,2012,26
114,2012-07-01,10,2,0,5,0,0,0,2012,26
25,2012-07-01,4,1,0,1,0,0,0,2012,26
110,2012-07-01,7,1,0,2,0,0,0,2012,26
18,2012-07-01,16,3,0,3,0,0,1,2012,26
123,2012-07-01,6,1,0,1,0,0,0,2012,26
20,2012-07-01,5,0,0,0,0,0,0,2012,26
105,2012-07-01,10,2,0,3,0,0,0,2012,26
19,2012-07-01,8,2,0,2,0,1,1,2012,26
17,2012-07-01,12,1,0,1,0,0,1,2012,26
26,2012-07-01,2,1,0,2,0,0,0,2012,26
108,2012-07-01,9,1,0,1,0,0,0,2012,26
22,2012-07-01,2,1,0,1,0,0,1,2012,26
