row_number,precinct,week,year,yearweek,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,label
26,1,26,2012,201226,7,0,0,0,0,0,0,2012-06-25 through 2012-07-01
27,1,27,2012,201227,61,9,0,11,0,4,5,2012-07-02 through 2012-07-08
28,1,28,2012,201228,60,10,0,11,0,2,5,2012-07-09 through 2012-07-15
29,1,29,2012,201229,67,9,0,13,0,2,2,2012-07-16 through 2012-07-22
30,1,30,2012,201230,56,7,0,10,0,0,3,2012-07-23 through 2012-07-29
31,1,31,2012,201231,48,5,0,5,0,0,4,2012-07-30 through 2012-08-05
32,1,32,2012,201232,59,9,0,10,0,5,3,2012-08-06 through 2012-08-12
33,1,33,2012,201233,46,2,0,2,0,1,1,2012-08-13 through 2012-08-19
34,1,34,2012,201234,52,6,1,11,1,0,6,2012-08-20 through 2012-08-26
35,1,35,2012,201235,54,9,0,12,0,3,3,2012-08-27 through 2012-09-02
36,1,36,2012,201236,49,7,0,8,0,0,7,2012-09-03 through 2012-09-09
37,1,37,2012,201237,74,11,0,14,0,2,4,2012-09-10 through 2012-09-16
38,1,38,2012,201238,44,7,0,10,0,2,2,2012-09-17 through 2012-09-23
39,1,39,2012,201239,51,9,0,10,0,2,2,2012-09-24 through 2012-09-30
40,1,40,2012,201240,65,11,0,14,0,3,5,2012-10-01 through 2012-10-07
41,1,41,2012,201241,62,6,0,6,0,1,2,2012-10-08 through 2012-10-14
42,1,42,2012,201242,53,5,0,5,0,1,1,2012-10-15 through 2012-10-21
43,1,43,2012,201243,54,1,0,2,0,0,0,2012-10-22 through 2012-10-28
44,1,44,2012,201244,9,3,0,5,0,1,0,2012-10-29 through 2012-11-04
45,1,45,2012,201245,50,6,0,10,0,0,4,2012-11-05 through 2012-11-11
46,1,46,2012,201246,60,7,0,8,0,1,2,2012-11-12 through 2012-11-18
47,1,47,2012,201247,38,2,0,3,0,0,0,2012-11-19 through 2012-11-25
48,1,48,2012,201248,51,6,0,6,0,1,5,2012-11-26 through 2012-12-02
49,1,49,2012,201249,42,7,0,8,0,1,5,2012-12-03 through 2012-12-09
50,1,50,2012,201250,59,9,0,9,0,1,5,2012-12-10 through 2012-12-16
51,1,51,2012,201251,59,8,0,10,0,1,4,2012-12-17 through 2012-12-23
52,1,52,2012,201252,24,2,0,2,0,1,1,2012-12-24 through 2012-12-30
53,1,1,2013,20131,29,4,0,12,0,0,1,2012-12-31 through 2013-01-06
54,1,1,2013,20131,6,1,0,1,0,0,1,2013-12-30 through 2014-01-05
55,1,2,2013,20132,32,4,0,4,0,0,4,2013-01-07 through 2013-01-13
56,1,3,2013,20133,44,9,0,11,0,0,5,2013-01-14 through 2013-01-20
57,1,4,2013,20134,56,5,0,6,0,0,5,2013-01-21 through 2013-01-27
58,1,5,2013,20135,43,9,0,9,0,0,6,2013-01-28 through 2013-02-03
59,1,6,2013,20136,45,7,0,7,0,0,4,2013-02-04 through 2013-02-10
60,1,7,2013,20137,49,6,0,6,0,0,3,2013-02-11 through 2013-02-17
61,1,8,2013,20138,49,11,0,11,0,1,4,2013-02-18 through 2013-02-24
62,1,9,2013,20139,51,6,0,7,0,1,3,2013-02-25 through 2013-03-03
63,1,10,2013,201310,49,9,0,10,0,1,5,2013-03-04 through 2013-03-10
