row_number,precinct,week,year,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,label
65,13,1,2012,5,0,0,0,0,0,0,2012-12-31 through 2013-01-06
139,13,26,2012,7,1,0,1,0,0,1,2012-06-25 through 2012-07-01
216,13,27,2012,40,13,0,13,0,3,2,2012-07-02 through 2012-07-08
289,13,28,2012,65,12,0,15,0,3,5,2012-07-09 through 2012-07-15
364,13,29,2012,56,9,0,10,0,3,5,2012-07-16 through 2012-07-22
445,13,30,2012,56,10,0,11,0,1,5,2012-07-23 through 2012-07-29
522,13,31,2012,62,20,0,20,0,4,6,2012-07-30 through 2012-08-05
599,13,32,2012,62,9,0,12,0,1,3,2012-08-06 through 2012-08-12
676,13,33,2012,56,7,0,7,0,4,3,2012-08-13 through 2012-08-19
753,13,34,2012,53,6,0,6,0,2,4,2012-08-20 through 2012-08-26
830,13,35,2012,45,7,0,12,0,2,2,2012-08-27 through 2012-09-02
907,13,36,2012,63,12,0,22,0,2,4,2012-09-03 through 2012-09-09
984,13,37,2012,53,9,0,9,0,5,1,2012-09-10 through 2012-09-16
1061,13,38,2012,69,18,0,23,0,3,9,2012-09-17 through 2012-09-23
1138,13,39,2012,55,11,0,11,0,1,5,2012-09-24 through 2012-09-30
1213,13,40,2012,53,11,0,14,0,2,5,2012-10-01 through 2012-10-07
1290,13,41,2012,56,12,0,14,0,1,7,2012-10-08 through 2012-10-14
1367,13,42,2012,57,8,0,8,0,1,5,2012-10-15 through 2012-10-21
1446,13,43,2012,47,12,0,15,0,3,5,2012-10-22 through 2012-10-28
1521,13,44,2012,37,9,1,11,1,2,2,2012-10-29 through 2012-11-04
1598,13,45,2012,47,8,0,9,0,2,2,2012-11-05 through 2012-11-11
1675,13,46,2012,48,7,0,7,0,2,3,2012-11-12 through 2012-11-18
1752,13,47,2012,46,9,1,11,1,4,3,2012-11-19 through 2012-11-25
1829,13,48,2012,62,7,0,10,0,0,1,2012-11-26 through 2012-12-02
1906,13,49,2012,50,6,0,6,0,1,2,2012-12-03 through 2012-12-09
1987,13,50,2012,50,11,0,11,0,1,7,2012-12-10 through 2012-12-16
2062,13,51,2012,53,5,0,7,0,1,2,2012-12-17 through 2012-12-23
2139,13,52,2012,43,13,0,13,0,0,9,2012-12-24 through 2012-12-30
2276,13,1,2013,41,7,1,9,1,1,4,2012-12-31 through 2013-01-06
2278,13,1,2013,13,3,0,3,0,0,1,2013-12-30 through 2014-01-05
2368,13,10,2013,48,7,0,7,0,1,4,2013-03-04 through 2013-03-10
2447,13,11,2013,71,14,0,14,0,1,7,2013-03-11 through 2013-03-17
2524,13,12,2013,54,10,0,13,0,1,4,2013-03-18 through 2013-03-24
2601,13,13,2013,50,9,0,11,0,2,5,2013-03-25 through 2013-03-31
2679,13,14,2013,56,9,0,11,0,1,6,2013-04-01 through 2013-04-07
2756,13,15,2013,61,8,0,8,0,4,3,2013-04-08 through 2013-04-14
2833,13,16,2013,53,17,0,21,0,2,10,2013-04-15 through 2013-04-21
2908,13,17,2013,57,8,0,9,0,1,2,2013-04-22 through 2013-04-28
2985,13,18,2013,55,12,0,14,0,1,5,2013-04-29 through 2013-05-05
3063,13,19,2013,72,16,0,18,0,7,6,2013-05-06 through 2013-05-12
3140,13,2,2013,48,8,0,8,0,1,6,2013-01-07 through 2013-01-13
3217,13,20,2013,58,12,0,13,0,3,3,2013-05-13 through 2013-05-19
3294,13,21,2013,58,10,0,18,0,2,4,2013-05-20 through 2013-05-26
3372,13,22,2013,59,11,0,13,0,1,6,2013-05-27 through 2013-06-02
3449,13,23,2013,67,10,0,11,0,2,4,2013-06-03 through 2013-06-09
3526,13,24,2013,58,13,0,18,0,4,5,2013-06-10 through 2013-06-16
3603,13,25,2013,60,12,0,14,0,4,4,2013-06-17 through 2013-06-23
3679,13,26,2013,72,18,1,20,1,4,7,2013-06-24 through 2013-06-30
3756,13,27,2013,42,5,0,5,0,1,2,2013-07-01 through 2013-07-07
3832,13,28,2013,57,12,0,14,0,3,6,2013-07-08 through 2013-07-14
3910,13,29,2013,53,12,0,13,0,4,3,2013-07-15 through 2013-07-21
3985,13,3,2013,58,12,1,14,1,3,6,2013-01-14 through 2013-01-20
4065,13,30,2013,52,12,0,13,0,3,5,2013-07-22 through 2013-07-28
4139,13,31,2013,69,15,0,16,0,5,5,2013-07-29 through 2013-08-04
4218,13,32,2013,52,7,0,8,0,3,3,2013-08-05 through 2013-08-11
4295,13,33,2013,51,12,1,14,1,7,3,2013-08-12 through 2013-08-18
4371,13,34,2013,68,10,0,11,0,2,4,2013-08-19 through 2013-08-25
4450,13,35,2013,63,18,0,28,0,6,7,2013-08-26 through 2013-09-01
4526,13,36,2013,52,13,0,17,0,7,2,2013-09-02 through 2013-09-08
4601,13,37,2013,50,10,0,12,0,1,9,2013-09-09 through 2013-09-15
4677,13,38,2013,64,18,0,18,0,5,11,2013-09-16 through 2013-09-22
4753,13,39,2013,54,9,0,10,0,2,3,2013-09-23 through 2013-09-29
4832,13,4,2013,45,7,0,8,0,1,4,2013-01-21 through 2013-01-27
4908,13,40,2013,62,14,0,18,0,4,2,2013-09-30 through 2013-10-06
