year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,60,2012-06-25 through 2012-07-01,13,1,0,1,0,1,0,1
2012,27,60,2012-07-02 through 2012-07-08,31,4,0,4,0,1,1,2
2012,28,60,2012-07-09 through 2012-07-15,21,5,0,5,0,3,1,3
2012,29,60,2012-07-16 through 2012-07-22,32,5,0,5,0,1,2,4
2012,30,60,2012-07-23 through 2012-07-29,35,9,0,9,0,1,5,5
2012,31,60,2012-07-30 through 2012-08-05,35,10,0,10,0,2,5,6
2012,32,60,2012-08-06 through 2012-08-12,35,8,0,9,0,0,3,7
2012,33,60,2012-08-13 through 2012-08-19,36,6,0,6,0,3,2,8
2012,34,60,2012-08-20 through 2012-08-26,30,8,0,13,0,2,2,9
2012,35,60,2012-08-27 through 2012-09-02,24,7,0,17,0,0,1,10
2012,36,60,2012-09-03 through 2012-09-09,20,4,0,5,0,0,1,11
2012,37,60,2012-09-10 through 2012-09-16,32,6,0,8,0,0,2,12
2012,38,60,2012-09-17 through 2012-09-23,26,8,0,9,0,2,4,13
2012,39,60,2012-09-24 through 2012-09-30,26,4,0,7,0,0,0,14
2012,40,60,2012-10-01 through 2012-10-07,24,5,0,6,0,0,1,15
2012,41,60,2012-10-08 through 2012-10-14,23,4,0,4,0,0,1,16
2012,42,60,2012-10-15 through 2012-10-21,27,10,0,15,0,1,6,17
2012,43,60,2012-10-22 through 2012-10-28,35,5,0,5,0,0,1,18
2012,44,60,2012-10-29 through 2012-11-04,13,1,0,1,0,0,1,19
2012,45,60,2012-11-05 through 2012-11-11,27,4,0,4,0,0,1,20
2012,46,60,2012-11-12 through 2012-11-18,34,5,0,8,0,0,2,21
2012,47,60,2012-11-19 through 2012-11-25,34,7,0,9,0,1,7,22
2012,48,60,2012-11-26 through 2012-12-02,19,1,0,1,0,0,1,23
2012,49,60,2012-12-03 through 2012-12-09,26,10,0,10,0,0,6,24
2012,50,60,2012-12-10 through 2012-12-16,37,7,0,9,0,0,1,25
2012,51,60,2012-12-17 through 2012-12-23,26,3,0,3,0,0,2,26
2012,52,60,2012-12-24 through 2012-12-30,29,6,0,6,0,1,4,27
2013,1,60,2012-12-31 through 2013-01-06,17,6,0,11,0,0,1,28
2013,2,60,2013-01-07 through 2013-01-13,29,9,0,13,0,1,6,29
2013,3,60,2013-01-14 through 2013-01-20,19,3,0,3,0,0,1,30
2013,4,60,2013-01-21 through 2013-01-27,25,8,0,8,0,0,4,31
2013,5,60,2013-01-28 through 2013-02-03,25,4,0,4,0,0,3,32
2013,6,60,2013-02-04 through 2013-02-10,28,3,0,3,0,0,1,33
2013,7,60,2013-02-11 through 2013-02-17,37,7,0,12,0,2,2,34
2013,8,60,2013-02-18 through 2013-02-24,21,6,0,7,0,0,3,35
2013,9,60,2013-02-25 through 2013-03-03,31,8,0,9,0,0,4,36
2013,10,60,2013-03-04 through 2013-03-10,29,8,0,9,0,0,2,37
2013,11,60,2013-03-11 through 2013-03-17,24,6,0,7,0,0,3,38
2013,12,60,2013-03-18 through 2013-03-24,20,5,0,9,0,0,2,39
2013,13,60,2013-03-25 through 2013-03-31,18,2,0,3,0,0,1,40
2013,14,60,2013-04-01 through 2013-04-07,26,8,0,9,0,0,0,41
2013,15,60,2013-04-08 through 2013-04-14,34,5,0,7,0,0,2,42
2013,16,60,2013-04-15 through 2013-04-21,29,4,0,5,0,0,0,43
2013,17,60,2013-04-22 through 2013-04-28,29,6,0,13,0,2,1,44
2013,18,60,2013-04-29 through 2013-05-05,40,8,0,8,0,1,3,45
2013,19,60,2013-05-06 through 2013-05-12,27,3,0,3,0,0,2,46
2013,20,60,2013-05-13 through 2013-05-19,28,9,0,10,0,2,3,47
2013,21,60,2013-05-20 through 2013-05-26,24,5,0,6,0,2,1,48
2013,22,60,2013-05-27 through 2013-06-02,34,8,0,11,0,0,4,49
2013,23,60,2013-06-03 through 2013-06-09,36,7,0,7,0,1,4,50
2013,24,60,2013-06-10 through 2013-06-16,28,7,0,8,0,0,3,51
2013,25,60,2013-06-17 through 2013-06-23,39,7,0,9,0,1,0,52
2013,26,60,2013-06-24 through 2013-06-30,29,2,0,5,0,0,0,53
2013,27,60,2013-07-01 through 2013-07-07,39,6,0,12,0,0,3,54
2013,28,60,2013-07-08 through 2013-07-14,27,1,0,2,0,0,0,55
2013,29,60,2013-07-15 through 2013-07-21,38,8,0,9,0,2,5,56
2013,30,60,2013-07-22 through 2013-07-28,30,8,0,10,0,1,1,57
2013,31,60,2013-07-29 through 2013-08-04,33,7,0,7,0,1,3,58
2013,32,60,2013-08-05 through 2013-08-11,23,6,0,7,0,1,4,59
2013,33,60,2013-08-12 through 2013-08-18,30,5,2,7,2,0,0,60
2013,34,60,2013-08-19 through 2013-08-25,26,2,0,3,0,0,0,61
