year,week,precinct,label,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,index
2012,26,73,2012-06-25 through 2012-07-01,3,1,0,1,0,1,0,1
2012,27,73,2012-07-02 through 2012-07-08,45,14,0,22,0,0,4,2
2012,28,73,2012-07-09 through 2012-07-15,32,8,0,14,0,0,2,3
2012,29,73,2012-07-16 through 2012-07-22,37,14,1,19,1,2,5,4
2012,30,73,2012-07-23 through 2012-07-29,35,13,0,29,0,2,1,5
2012,31,73,2012-07-30 through 2012-08-05,32,11,0,18,0,2,2,6
2012,32,73,2012-08-06 through 2012-08-12,29,10,0,11,0,4,2,7
2012,33,73,2012-08-13 through 2012-08-19,42,13,0,22,0,2,5,8
2012,34,73,2012-08-20 through 2012-08-26,39,8,1,11,1,1,4,9
2012,35,73,2012-08-27 through 2012-09-02,42,14,0,16,0,3,0,10
2012,36,73,2012-09-03 through 2012-09-09,44,12,0,17,0,0,5,11
2012,37,73,2012-09-10 through 2012-09-16,29,12,0,18,0,2,4,12
2012,38,73,2012-09-17 through 2012-09-23,25,7,0,9,0,1,4,13
2012,39,73,2012-09-24 through 2012-09-30,34,9,0,10,0,0,4,14
2012,40,73,2012-10-01 through 2012-10-07,34,7,0,14,0,1,1,15
2012,41,73,2012-10-08 through 2012-10-14,29,8,0,15,0,0,3,16
2012,42,73,2012-10-15 through 2012-10-21,40,8,0,16,0,2,1,17
2012,43,73,2012-10-22 through 2012-10-28,47,14,1,16,1,0,4,18
2012,44,73,2012-10-29 through 2012-11-04,25,6,0,8,0,1,3,19
2012,45,73,2012-11-05 through 2012-11-11,37,7,0,11,0,1,3,20
2012,46,73,2012-11-12 through 2012-11-18,39,8,0,12,0,0,2,21
2012,47,73,2012-11-19 through 2012-11-25,33,13,0,19,0,0,4,22
2012,48,73,2012-11-26 through 2012-12-02,31,5,0,6,0,0,3,23
2012,49,73,2012-12-03 through 2012-12-09,35,16,0,22,0,1,6,24
2012,50,73,2012-12-10 through 2012-12-16,40,10,0,14,0,0,3,25
2012,51,73,2012-12-17 through 2012-12-23,41,11,0,19,0,0,9,26
2012,52,73,2012-12-24 through 2012-12-30,34,7,0,7,0,1,4,27
2013,1,73,2012-12-31 through 2013-01-06,37,6,0,14,0,0,4,28
2013,2,73,2013-01-07 through 2013-01-13,41,6,0,9,0,0,7,29
2013,3,73,2013-01-14 through 2013-01-20,30,10,0,16,0,0,4,30
2013,4,73,2013-01-21 through 2013-01-27,28,11,0,11,0,0,5,31
2013,5,73,2013-01-28 through 2013-02-03,41,8,0,12,0,1,2,32
2013,6,73,2013-02-04 through 2013-02-10,39,7,0,7,0,1,3,33
2013,7,73,2013-02-11 through 2013-02-17,27,10,0,20,0,1,2,34
2013,8,73,2013-02-18 through 2013-02-24,31,5,0,7,0,0,2,35
2013,9,73,2013-02-25 through 2013-03-03,29,6,0,7,0,0,2,36
2013,10,73,2013-03-04 through 2013-03-10,44,10,0,14,0,0,5,37
2013,11,73,2013-03-11 through 2013-03-17,33,8,0,11,0,0,4,38
2013,12,73,2013-03-18 through 2013-03-24,32,6,0,12,0,0,4,39
2013,13,73,2013-03-25 through 2013-03-31,33,8,0,11,0,1,1,40
2013,14,73,2013-04-01 through 2013-04-07,30,9,0,19,0,0,1,41
2013,15,73,2013-04-08 through 2013-04-14,42,9,0,12,0,0,1,42
2013,16,73,2013-04-15 through 2013-04-21,31,8,0,9,0,1,3,43
2013,17,73,2013-04-22 through 2013-04-28,34,7,0,11,0,0,3,44
2013,18,73,2013-04-29 through 2013-05-05,35,15,0,23,0,3,4,45
2013,19,73,2013-05-06 through 2013-05-12,49,15,0,23,0,0,3,46
