precinct,date,all_collisions,injury_collisions,fatal_collisions,injures,fatalities,cyclists_involved,pedestrians_involved,year,week
90,2012-07-01,6,4,0,8,0,2,0,2012,26
90,2012-07-02,3,0,0,0,0,0,0,2012,27
90,2012-07-03,10,0,0,0,0,0,0,2012,27
90,2012-07-04,4,1,0,1,0,0,0,2012,27
90,2012-07-05,7,1,0,1,0,1,0,2012,27
90,2012-07-06,4,0,0,0,0,0,0,2012,27
90,2012-07-07,4,1,0,1,0,0,1,2012,27
90,2012-07-08,4,1,0,1,0,0,1,2012,27
90,2012-07-09,7,2,0,2,0,1,0,2012,28
90,2012-07-10,5,0,0,0,0,0,0,2012,28
90,2012-07-11,9,2,0,2,0,1,1,2012,28
90,2012-07-12,8,3,0,3,0,2,0,2012,28
90,2012-07-13,11,1,0,1,0,1,0,2012,28
90,2012-07-14,5,1,0,1,0,0,1,2012,28
90,2012-07-15,4,2,0,8,0,0,0,2012,28
90,2012-07-16,11,4,0,7,0,1,0,2012,29
90,2012-07-17,5,1,0,1,0,0,0,2012,29
90,2012-07-18,7,1,0,1,0,0,1,2012,29
90,2012-07-19,10,3,0,4,0,0,1,2012,29
90,2012-07-20,7,3,0,3,0,1,0,2012,29
90,2012-07-21,5,0,0,0,0,0,0,2012,29
90,2012-07-22,5,0,0,0,0,0,0,2012,29
90,2012-07-23,5,0,0,0,0,0,0,2012,30
90,2012-07-24,7,1,0,2,0,0,0,2012,30
90,2012-07-25,5,3,0,3,0,0,1,2012,30
90,2012-07-26,10,2,0,2,0,0,1,2012,30
90,2012-07-27,10,4,0,4,0,0,3,2012,30
90,2012-07-28,3,1,0,2,0,0,2,2012,30
90,2012-07-29,1,0,0,0,0,0,0,2012,30
90,2012-07-30,9,1,0,1,0,0,0,2012,31
90,2012-07-31,10,0,0,0,0,0,0,2012,31
90,2012-08-01,4,0,0,0,0,0,0,2012,31
90,2012-08-02,13,3,1,3,1,0,2,2012,31
90,2012-08-03,8,4,0,5,0,2,1,2012,31
90,2012-08-04,7,0,0,0,0,0,0,2012,31
90,2012-08-05,9,2,0,2,0,1,0,2012,31
90,2012-08-06,8,4,0,4,0,1,1,2012,32
90,2012-08-07,6,0,0,0,0,0,0,2012,32
90,2012-08-08,11,1,0,1,0,0,0,2012,32
90,2012-08-09,6,1,0,1,0,0,0,2012,32
90,2012-08-10,7,5,0,12,0,1,1,2012,32
90,2012-08-11,6,2,0,3,0,1,0,2012,32
90,2012-08-12,5,3,0,3,0,1,0,2012,32
90,2012-08-13,7,2,0,2,0,0,2,2012,33
90,2012-08-14,10,1,0,1,0,0,0,2012,33
90,2012-08-15,10,2,0,2,0,1,1,2012,33
90,2012-08-16,4,1,0,1,0,0,1,2012,33
90,2012-08-17,8,3,0,5,0,0,0,2012,33
90,2012-08-18,3,1,0,1,0,0,1,2012,33
90,2012-08-19,4,2,0,2,0,1,0,2012,33
90,2012-08-20,8,3,0,3,0,1,0,2012,34
90,2012-08-21,5,2,0,3,0,1,0,2012,34
90,2012-08-22,4,1,0,1,0,0,1,2012,34
90,2012-08-23,13,2,0,2,0,0,1,2012,34
90,2012-08-24,9,3,0,4,0,2,1,2012,34
90,2012-08-25,4,2,0,2,0,1,1,2012,34
90,2012-08-26,2,1,0,1,0,0,0,2012,34
90,2012-08-27,4,1,0,1,0,0,1,2012,35
90,2012-08-28,4,1,0,1,0,1,0,2012,35
90,2012-08-29,4,0,0,0,0,0,0,2012,35
90,2012-08-30,13,0,0,0,0,0,0,2012,35
90,2012-08-31,7,2,0,2,0,1,1,2012,35
90,2012-09-01,3,0,0,0,0,0,0,2012,35
90,2012-09-02,1,0,0,0,0,0,0,2012,35
90,2012-09-03,1,0,0,0,0,0,0,2012,36
90,2012-09-04,2,0,0,0,0,0,0,2012,36
90,2012-09-05,5,0,0,0,0,0,0,2012,36
90,2012-09-06,9,1,0,1,0,1,0,2012,36
90,2012-09-07,5,2,0,2,0,2,0,2012,36
90,2012-09-08,10,4,0,4,0,1,1,2012,36
90,2012-09-09,2,1,0,2,0,0,0,2012,36
90,2012-09-10,8,5,0,6,0,2,0,2012,37
90,2012-09-11,7,0,0,0,0,0,0,2012,37
90,2012-09-12,8,1,0,1,0,0,1,2012,37
90,2012-09-13,10,2,0,2,0,0,2,2012,37
90,2012-09-14,7,0,0,0,0,0,0,2012,37
90,2012-09-15,8,5,1,6,1,2,2,2012,37
90,2012-09-16,3,1,0,2,0,0,2,2012,37
90,2012-09-17,4,2,0,2,0,0,1,2012,38
90,2012-09-18,10,3,0,7,0,1,1,2012,38
90,2012-09-19,7,1,0,1,0,1,0,2012,38
90,2012-09-20,5,0,0,0,0,0,0,2012,38
90,2012-09-21,12,3,0,3,0,0,1,2012,38
90,2012-09-22,6,3,0,3,0,0,2,2012,38
90,2012-09-23,3,2,0,2,0,0,1,2012,38
90,2012-09-24,6,3,0,4,0,0,0,2012,39
90,2012-09-25,10,4,0,4,0,2,2,2012,39
90,2012-09-26,7,1,0,1,0,0,0,2012,39
90,2012-09-27,8,2,0,3,0,1,0,2012,39
90,2012-09-28,6,3,0,3,0,2,1,2012,39
90,2012-09-29,7,2,1,3,1,1,0,2012,39
90,2012-09-30,5,1,0,1,0,0,0,2012,39
90,2012-10-01,9,2,1,2,1,2,0,2012,40
90,2012-10-02,6,0,0,0,0,0,0,2012,40
90,2012-10-03,4,3,0,3,0,0,1,2012,40
90,2012-10-04,8,1,0,1,0,0,1,2012,40
90,2012-10-05,4,1,0,4,0,0,4,2012,40
90,2012-10-06,6,0,0,0,0,0,0,2012,40
90,2012-10-07,3,1,0,1,0,1,0,2012,40
90,2012-10-08,4,0,0,0,0,0,0,2012,41
90,2012-10-09,8,1,0,1,0,1,0,2012,41
90,2012-10-10,14,2,0,3,0,0,1,2012,41
90,2012-10-11,9,0,0,0,0,0,0,2012,41
90,2012-10-12,6,1,0,1,0,0,0,2012,41
90,2012-10-13,4,1,0,1,0,0,0,2012,41
90,2012-10-14,7,1,0,2,0,0,0,2012,41
90,2012-10-15,9,1,0,1,0,0,0,2012,42
90,2012-10-16,13,3,0,3,0,0,2,2012,42
90,2012-10-17,11,2,0,4,0,0,1,2012,42
90,2012-10-18,14,0,0,0,0,0,0,2012,42
90,2012-10-19,15,5,0,9,0,1,0,2012,42
90,2012-10-20,9,2,0,2,0,0,0,2012,42
90,2012-10-21,3,0,0,0,0,0,0,2012,42
90,2012-10-22,9,2,0,2,0,1,0,2012,43
90,2012-10-23,13,4,0,4,0,1,0,2012,43
90,2012-10-24,10,1,0,2,0,0,0,2012,43
90,2012-10-25,9,2,0,2,0,1,1,2012,43
90,2012-10-26,10,3,0,3,0,1,1,2012,43
90,2012-10-27,5,1,0,1,0,0,1,2012,43
90,2012-10-28,8,2,0,2,0,1,1,2012,43
90,2012-10-29,3,1,0,2,0,0,0,2012,44
90,2012-10-30,6,1,0,1,0,1,0,2012,44
90,2012-10-31,5,0,0,0,0,0,0,2012,44
90,2012-11-01,13,6,0,8,0,4,0,2012,44
90,2012-11-02,5,0,0,0,0,0,0,2012,44
90,2012-11-03,5,2,0,2,0,1,1,2012,44
90,2012-11-04,3,1,0,1,0,0,1,2012,44
90,2012-11-05,11,4,0,7,0,0,4,2012,45
90,2012-11-06,10,3,0,5,0,0,1,2012,45
90,2012-11-07,16,3,0,4,0,0,2,2012,45
90,2012-11-08,3,0,0,0,0,0,0,2012,45
90,2012-11-09,7,3,0,4,0,0,1,2012,45
